cbo_name,parent_organization,activity_type,activity_type_other,date_of_activity,activity_end_date,advertising_end_date,total_number_of_alert_sign_ups,total_people_spoken_to,City,address,description,total_number_of_houses,how_assisted,total_number_assisted,event_name,audience_details,education_grade,activity_total_material_dist,activity_collateral_dtls,activity_social_media_chan,total_number_nudgedalerted,total_number_of_calls,total_number_of_pledge_cards,total_number_of_impressions,impression_data_accuracy_confid,total_htc_of_impressions,htc_data_accuracy_confidence,HTC,immigrants_refugees,children_ages_0_5,limited_english_proficient_indi,htc_breakdown_data_confidence,Language,lang_arabic,lang_armenian,lang_assyrian_neo_aramaic,lang_cantonese,lang_chaldean_neo_aramaic,lang_chinese,lang_farsi,lang_filipino,lang_hindi,lang_hmong,lang_iu_mien,lang_japanese,lang_khmer,lang_korean,lang_mandarin,lang_min_nan_chinese,lang_portuguese,lang_punjabi,lang_russian,lang_spanish,lang_tagalog,lang_telugu,lang_thai,lang_ukrainian,lang_vietnamese,lang_other_info,lang_breakdown_data_confidence,funding_state_allocated,funding_county_direct,funding_acbo_direct,funding_foundation,funding_private,funding_volunteer_hours,qac_total_had_info_no_census,qac_total_completed_pc,qac_total_completed_phone,qac_total_completed_uscb_phone
Catholic Charities of Orange County,Charitable Ventures,event,,3/15/2020,3/31/2020,,,,Santa Ana,"1800 e.  17th street, santa ana, ca  92705",Immigration Counselor/Client sessions,,,,,,,,,,,,,85,exact,100,very_high,"immigrants_refugees, children_ages_0_5, limited_english_proficient_indi",85,3,56,very_high,"spanish, vietnamese",,,,,,,,,,,,,,,,,,,,51,,,,,4,,very_high,,,,,,,,,,
Catholic Charities of Orange County,Charitable Ventures,event,,4/1/2020,4/16/2020,,,,Santa Ana,"1800 e.  17th street, santa ana, ca  92705",Citizenship Informational Session (By Phone),,,,,,,,,,,,,40,exact,100,very_high,"immigrants_refugees, limited_english_proficient_indi",40,,32,medium,spanish,,,,,,,,,,,,,,,,,,,,32,,,,,,,medium,,,,,,,,,,
Catholic Charities of Orange County,Charitable Ventures,event,,4/19/2020,4/25/2020,,,,Santa Ana,"1800 e.  17th street, santa ana, ca  92705",Immigration Counselor/Client sessions,,,,,,,,,,,,,44,exact,100,exact,"immigrants_refugees, limited_english_proficient_indi",44,,30,very_high,spanish,,,,,,,,,,,,,,,,,,,,30,,,,,,,exact,,,,,,,,,,
Access California Services,Charitable Ventures,webinar,AccessCal hosted a support group for parenting in which AccessCal reminded they had time to complete the Census,10/7/2020,,,,,,"631 s. brookhurst street suite 107, anaheim 92804",,,,,,,,,,,,,,60,very_high,100,very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institute for Healthcare Advancement ,Charitable Ventures,booths,Outreach,9/23/2020,9/23/2020,,,,,"981 n. euclid street  la habra, ca 90631","Mobile questionaire assitance, Distibution of Census material and Census Flyers, free tacos for people that filled out their census.",,,,Let?«÷s Taco-bout  the Census 2020,,,50,,,,,,50,very_high,100,very_high,"immigrants_refugees, children_ages_0_5, limited_english_proficient_indi",10,4,20,low,spanish,,,,,,,,,,,,,,,,,,,,50,,,,,,,very_high,,,,,,,,,,
Catholic Charities of Orange County,Charitable Ventures,event,,4/26/2020,5/2/2020,,,,Santa Ana,"1800 e.  17th street, santa ana, ca  92705",Immigration Counselor/Client sessions,,,,,,,,,,,,,28,exact,100,exact,"immigrants_refugees, limited_english_proficient_indi",28,,18,very_high,spanish,,,,,,,,,,,,,,,,,,,,30,,,,,,,exact,,,,,,,,,,
Catholic Charities of Orange County,Charitable Ventures,event,,5/3/2020,5/16/2020,,,,Santa Ana,"1800 e.  17th street, santa ana, ca  92705",Immigration Counselor/Client sessions,,,,,,,,,,,,,52,exact,100,exact,"immigrants_refugees, limited_english_proficient_indi",52,,15,very_high,spanish,,,,,,,,,,,,,,,,,,,,15,,,,,,,exact,,,,,,,,,,
Catholic Charities of Orange County,Charitable Ventures,event,,5/18/2020,6/14/2020,,,,Santa Ana,"1800 e.  17th street, santa ana, ca  92705",Immigration Counselor/Client sessions,,,,,,,,,,,,,467,exact,100,exact,immigrants_refugees,467,,,very_high,spanish,,,,,,,,,,,,,,,,,,,,276,,,,,,,exact,,,,,,,,,,
Catholic Charities of Orange County,Charitable Ventures,event,,7/27/2020,8/31/2020,,,,Santa Ana,"1800 e.  17th street, santa ana, ca  92705",Immigration Counselor/Client sessions,,,,,,,,,,,,,184,exact,100,exact,immigrants_refugees,184,,,exact,spanish,,,,,,,,,,,,,,,,,,,,102,,,,,,,exact,,,,,,,,,,
Catholic Charities of Orange County,Charitable Ventures,event,,9/1/2020,9/30/2020,,,,Santa Ana,"1800 e.  17th street, santa ana, ca  92705",Immigration Counselor/Client sessions,,,,,,,,,,,,,285,exact,100,exact,immigrants_refugees,285,,,exact,spanish,,,,,,,,,,,,,,,,,,,,209,,,,,,,exact,,,,,,,,,,
Catholic Charities of Orange County,Charitable Ventures,event,,2/25/2020,,,,,Santa Ana,"2020 chestnut ave. santa ana, ca 92703",Food Distribution,,,,,,,,,,,,,117,very_high,100,very_high,"immigrants_refugees, children_ages_0_5, limited_english_proficient_indi",55,3,80,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catholic Charities of Orange County,Charitable Ventures,event,,1/16/2020,,,,,Santa Ana,"2020 w. chestnut ave, santa ana, ca 92703",Cantlay Center - Food Bank - Food distribution,,,,,,,,,,,,,40,high,100,very_high,"immigrants_refugees, limited_english_proficient_indi",40,,30,medium,"spanish, vietnamese",,,,,,,,,,,,,,,,,,,,20,,,,,20,,medium,,,,,,,,,,
Catholic Charities of Orange County,Charitable Ventures,event,,1/21/2020,,,,,Santa Ana,"2020 w. chestnut ave, santa ana, ca 92703",Cantlay Center - Food Bank - Food distribution,,,,,,,,,,,,,225,high,100,very_high,"immigrants_refugees, limited_english_proficient_indi",75,,75,medium,"spanish, vietnamese",,,,,,,,,,,,,,,,,,,,20,,,,,38,,medium,,,,,,,,,,
OC Herald Center,Chinese Christian Herald Crusades Los Angeles,flyers,Census Email Campaign  - Master List,3/31/2020,,,,,,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,707,medium,100,very_high,,,,,very_high,chinese,,,,,,707,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,
OC Herald Center,Charitable Ventures,event,Love Pack Give Away,9/9/2020,,,,,Santa Ana,"401 ross st, santa ana, ca 92701",,,,,,,,,,,,,,34,high,100,high,,,,,high,chinese,,,,,,34,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,
AASCSC,Asian American Senior Citizens Service Center,event,,4/24/2020,,,,,Santa Ana,"401 w 1st st santa ana, ca 92701",,,,,,,,,,,,,,25,very_high,100,very_high,"immigrants_refugees, limited_english_proficient_indi",25,,25,very_high,chinese,,,,,,25,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,
AASCSC,Charitable Ventures,event,,4/24/2020,,,,,Santa Ana,"401 w 1st st santa ana, ca 92701",,,,,,,,,,,,,,25,very_high,100,very_high,"immigrants_refugees, limited_english_proficient_indi",25,,25,very_high,chinese,,,,,,25,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,
AASCSC,Asian American Senior Citizens Service Center,event,,5/9/2020,,,,,Santa Ana,"401 w 1st st santa ana, ca 92701",,,,,,,,,,,,,,150,very_high,100,very_high,"immigrants_refugees, limited_english_proficient_indi",140,,130,very_high,"cantonese, chinese, filipino, korean, mandarin, spanish, tagalog, vietnamese, other",,,,50,,100,,15,,,,,,5,100,,,,,20,15,,,,15,50,very_high,,,,,,,,,,
AASCSC,Charitable Ventures,event,,5/9/2020,,,,,Santa Ana,"401 w 1st st santa ana, ca 92701",,,,,,,,,,,,,,150,very_high,100,very_high,"immigrants_refugees, limited_english_proficient_indi",140,,130,very_high,"cantonese, chinese, filipino, korean, mandarin, spanish, tagalog, vietnamese, other",,,,50,,100,,15,,,,,,5,100,,,,,20,15,,,,15,50,very_high,,,,,,,,,,
AASCSC,Charitable Ventures,event,,2/23/2020,,,,,Santa Ana,"401 w 1st st, santa ana 92701",,,,,,,,,,,,,,60,very_high,100,very_high,"immigrants_refugees, limited_english_proficient_indi",60,,60,exact,"cantonese, chinese, mandarin, min nan chinese, other",,,,15,,60,,,,,,,,,60,60,,,,,,,,,,30,very_high,,,,,,,,,,
OCAPICA,Charitable Ventures,speaking_engagement,coasltine students,3/5/2020,,,,,,"12901 s euclid st, garden grove, ca 92840",,,,,,,,,,,,,,80,exact,100,medium,immigrants_refugees,67,,,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,very_low,,,,,,,,,,
AASCSC,Charitable Ventures,event,,4/15/2020,,,,,Santa Ana,"401 w 1st st, santa ana 92701",,,,,,,,,,,,,,80,very_high,100,very_high,"immigrants_refugees, limited_english_proficient_indi",80,,80,very_high,"chinese, filipino, min nan chinese, spanish, vietnamese, other",,,,,,75,,2,,,,,,,,5,,,,1,,,,,1,40,very_high,,,,,,,,,,
Orange County United Way,Charitable Ventures,event,,2/25/2020,,,,102,Santa Ana,"505 e. central ave. santa ana, ca 92707",Food Distribution,,Person,102,Food Distribution,Seniors,,68,(48)Census 2020-What You Need To Know-Spanish (20)Census 2020-What You Need To Know-English/Vietnamese ,,,,,102,high,100,high,,,,,high,"spanish, vietnamese, other",,,,,,,,,,,,,,,,,,,,82,,,,,10,10,high,YES,NO,NO,NO,NO,,,,,
Latino Health Access,Charitable Ventures,event,,4/17/2020,,,,,Santa Ana,"602 e 4th st, santa ana, ca",Announcement at LHA Food distribution event,,,,,,,,,,,,,200,high,100,high,"immigrants_refugees, limited_english_proficient_indi",200,,180,high,spanish,,,,,,,,,,,,,,,,,,,,180,,,,,,,medium,,,,,,,,,,
Latino Health Access,Charitable Ventures,event,,4/17/2020,,,,,Santa Ana,"602 e 4th st, santa ana, ca 92701",Announcement at LHA Food distribution event,,,,,,,,,,,,,200,high,100,high,"immigrants_refugees, limited_english_proficient_indi",200,,180,high,spanish,,,,,,,,,,,,,,,,,,,,180,,,,,,,medium,,,,,,,,,,
OCCCO,Charitable Ventures,event,Episcopalian Mass,2/24/2020,2/24/2020,,,,Santa Ana,"614 n bush st, santa ana, ca 92701",,,,,,,,,,,,,,64,exact,100,medium,,,,,medium,spanish,,,,,,,,,,,,,,,,,,,,100,,,,,,,exact,,,,,,,,,,
CAP OC ,Charitable Ventures,flyers,,5/1/2020,6/30/2020,,,,,502 s. ross st santa ana 92701,,,,,,,,,,,,,,100,exact,100,high,,,,,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AASCSC,Asian American Senior Citizens Service Center,social_media,,5/26/2020,,,,,,statewide,,,,,,,,,,,,,,340,very_high,100,medium,"immigrants_refugees, limited_english_proficient_indi",290,,200,medium,"chinese, mandarin",,,,,,200,,,,,,,,,200,,,,,,,,,,,,medium,,,,,,,,,,
OCCCO,Charitable Ventures,event,Announcents and distribution of flyers and direct conversations with spanish-speaking Latinos,3/7/2020,3/7/2020,,,,Santa Ana,"727 n minter st., santa ana, ca 92701",St. Joseph Catholic Church (Santa Ana),,,,,,,,,,,,,250,very_high,100,very_high,,,,,very_high,spanish,,,,,,,,,,,,,,,,,,,,200,,,,,,,very_high,,,,,,,,,,
OCCCO,Charitable Ventures,event,Announcents and distribution of flyers and direct conversations with english-speaking Latinos,3/7/2020,3/7/2020,,,,Santa Ana,"727 n minter st., santa ana, ca 92701",St. Joseph Catholic Church (Santa Ana),,,,,,,,,,,,,300,very_high,100,very_high,,,,,very_high,other,,,,,,,,,,,,,,,,,,,,,,,,,,300,very_high,,,,,,,,,,
OCCCO,Charitable Ventures,event,Announcents and distribution of flyers and direct conversations with english-speaking Latinos,3/8/2020,3/8/2020,,,,Santa Ana,"727 n minter st., santa ana, ca 92701",St. Joseph Catholic Church (Santa Ana),,,,,,,,,,,,,250,very_high,100,very_high,,,,,very_high,other,,,,,,,,,,,,,,,,,,,,,,,,,,300,very_high,,,,,,,,,,
OCCCO,Charitable Ventures,event,Announcents and distribution of flyers and direct conversations with spanish-speaking Latinos,3/8/2020,3/8/2020,,,,Santa Ana,"727 n minter st., santa ana, ca 92701",St. Joseph Catholic Church (Santa Ana),,,,,,,,,,,,,300,very_high,100,very_high,,,,,very_high,spanish,,,,,,,,,,,,,,,,,,,,300,,,,,,,very_high,,,,,,,,,,
OCCCO,Charitable Ventures,event,"Annoucents ,flyer distribuitions and direct converzation",3/8/2020,3/8/2020,,,,Santa Ana,727 n. minter santa ana 92701,St. Joseph Catholic Church mass,,,,,,,,,,,,,380,medium,80,medium,,,,,medium,spanish,,,,,,,,,,,,,,,,,,,,370,,,,,,,very_high,,,,,,,,,,
OCCCO,Charitable Ventures,event,"Annoucents ,flyer distribuitions and direct conversation",3/8/2020,3/8/2020,,,,Santa Ana,727 n. minter santa ana 92701,St. Joseph Catholic Church mass,,,,,,,,,,,,,350,high,100,high,,,,,very_high,spanish,,,,,,,,,,,,,,,,,,,,350,,,,,,,very_high,,,,,,,,,,
OCCCO,Charitable Ventures,event,"QAC, announcements, flyer distributions, and direct conversation with spanish-speaking community",3/14/2020,3/14/2020,,,,Santa Ana,"727 n. minter, santa ana, ca 92701",St. Joseph Catholic Church (Santa Ana),,,,,,,,,,,,,100,very_high,100,very_high,,,,,very_high,spanish,,,,,,,,,,,,,,,,,,,,100,,,,,,,very_high,,,,,,,,,,
OCCCO,Charitable Ventures,event,"QAC, announcements, flyer distributions, and direct conversation with spanish-speaking community",3/15/2020,3/15/2020,,,,Santa Ana,"727 n. minter, santa ana, ca 92701",St. Joseph Catholic Church (Santa Ana),,,,,,,,,,,,,700,very_high,100,very_high,,,,,very_high,"spanish, other",,,,,,,,,,,,,,,,,,,,500,,,,,,200,very_high,,,,,,,,,,
Project Access,Charitable Ventures,event,Food Bank,2/12/2020,,,,,Santa Ana,"780 s. lyon st., santa ana, ca 92705",,,,,,,,,,,,,,52,high,70,high,"immigrants_refugees, limited_english_proficient_indi",40,,50,high,spanish,,,,,,,,,,,,,,,,,,,,52,,,,,,,very_high,,,,,,,,,,
Orange County Labor Federation,Charitable Ventures,social_media,social media outreach and reminder of the importance of filling out the 2020 Census. Census link to fill out questionnaire.,6/25/2020,,,,,,"309 n rampart, orange 92868",,,,,,,,,,,,,,1088,high,90,high,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,
project access,Charitable Ventures,event,Food Bank ,7/28/2020,,,,,Santa Ana,"780 s. lyon st., santa ana,ca 92705",,,,,,,,,,,,,,58,exact,70,high,"immigrants_refugees, limited_english_proficient_indi",42,,43,medium,spanish,,,,,,,,,,,,,,,,,,,,47,,,,,,,medium,,,,,,,,,,
project access,Charitable Ventures,event,Food Bank ,7/29/2020,,,,,Santa Ana,"780 s. lyon st., santa ana,ca 92705",,,,,,,,,,,,,,164,exact,70,high,"immigrants_refugees, limited_english_proficient_indi",121,,150,medium,"spanish, other",,,,,,,,,,,,,,,,,,,,143,,,,,,4,medium,,,,,,,,,,
project access,Charitable Ventures,event,Food Bank ,7/31/2020,,,,,Santa Ana,"780 s. lyon st., santa ana,ca 92705",,,,,,,,,,,,,,174,exact,70,high,"immigrants_refugees, limited_english_proficient_indi",138,,150,medium,"spanish, other",,,,,,,,,,,,,,,,,,,,162,,,,,,10,medium,,,,,,,,,,
Latino Health Access,Charitable Ventures,event,,6/12/2020,,,,,Santa Ana,"805 s minnie st, santa ana, ca 92701",Presentation and flyers to participans receving food boxes at food distribution event on Minnie St.,,,,,,,,,,,,,209,exact,100,very_high,,,,,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,,,,,,,,,,
Latino Health Access,Charitable Ventures,event,,6/19/2020,,,,,Santa Ana,"805 s minnie st, santa ana, ca 92701",Presentation and flyers to participans receving food boxes at food distribution event on Minnie St.,,,,,,,,,,,,,225,exact,100,very_high,,,,,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,,,,,,,,,,
OCCCO,Charitable Ventures,event," Announcements, flyer distributions, and direct conversation with spanish-speaking community",3/14/2020,3/14/2020,,,,Santa Ana,"837 n. ross st. santa ana ca, 92701",Nativo purepecha Celebration  event,,,,,,,,,,,,,750,medium,100,very_high,immigrants_refugees,750,,,very_high,"spanish, other",,,,,,,,,,,,,,,,,,,,400,,,,,,350,high,,,,,,,,,,
AASCSC,Asian American Senior Citizens Service Center,event,,6/6/2020,,,,,Santa Ana,"850 n. birch street santa ana, ca 92701",,,,,,,,,,,,,,150,very_high,100,very_high,"immigrants_refugees, limited_english_proficient_indi",150,,130,very_high,"cantonese, chinese, filipino, mandarin, tagalog, vietnamese, other",,,,25,,100,,10,,,,,,,100,,,,,,10,,,,20,100,very_high,,,,,,,,,,
AASCSC,Charitable Ventures,event,,6/6/2020,,,,,Santa Ana,"850 n. birch street santa ana, ca 92701",,,,,,,,,,,,,,150,very_high,100,very_high,"immigrants_refugees, limited_english_proficient_indi",150,,130,very_high,"cantonese, chinese, filipino, mandarin, tagalog, vietnamese, other",,,,25,,100,,10,,,,,,,100,,,,,,10,,,,20,100,very_high,,,,,,,,,,
The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,5/25/2020,,,,,,"1626 e 4th st, santa ana 92701",,,,,,,,,,,,,,2150,high,90,very_high,immigrants_refugees,1935,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AASCSC,Charitable Ventures,event,,3/17/2020,,,,,Santa Ana,"850 n. birch street, santa ana 92701",,,,,,,,,,,,,,1000,high,100,high,"immigrants_refugees, limited_english_proficient_indi",1000,,1000,high,"chinese, filipino, mandarin, spanish, vietnamese",,,,,,500,,50,,,,,,,500,,,,,400,,,,,50,,high,,,,,,,,,,
AASCSC,Asian American Senior Citizens Service Center,event,,4/24/2020,,,,,Santa Ana,"901 w 1st st santa ana, ca 92701",,,,,,,,,,,,,,25,very_high,100,very_high,"immigrants_refugees, limited_english_proficient_indi",25,,25,very_high,chinese,,,,,,25,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,
CAP OC,Charitable Ventures,collateral,,4/28/2020,,,,,,"115 e alton ave, santa ana 92707",,,,,,,,,,,,,,1600,exact,100,high,children_ages_0_5,,1600,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AASCSC,Charitable Ventures,event,,4/24/2020,,,,,Santa Ana,"901 w 1st st santa ana, ca 92701",,,,,,,,,,,,,,25,very_high,100,very_high,"immigrants_refugees, limited_english_proficient_indi",25,,25,very_high,chinese,,,,,,25,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,
OC Herald Center,Charitable Ventures,other,IUSD Chinese PTA,4/15/2020,,,,,,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,499,,100,medium,,,,,high,chinese,,,,,,499,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,
AASCSC,Asian American Senior Citizens Service Center,event,,5/9/2020,,,,,Santa Ana,"901 w 1st st santa ana, ca 92701",,,,,,,,,,,,,,150,very_high,100,very_high,"immigrants_refugees, limited_english_proficient_indi",140,,130,very_high,"cantonese, chinese, filipino, korean, mandarin, spanish, tagalog, vietnamese, other",,,,50,,100,,10,,,,,,5,100,,,,,20,10,,,,10,50,very_high,,,,,,,,,,
AASCSC,Charitable Ventures,event,,5/9/2020,,,,,Santa Ana,"901 w 1st st santa ana, ca 92701",,,,,,,,,,,,,,150,very_high,100,very_high,"immigrants_refugees, limited_english_proficient_indi",140,,130,very_high,"cantonese, chinese, filipino, korean, mandarin, spanish, tagalog, vietnamese, other",,,,50,,100,,10,,,,,,5,100,,,,,20,10,,,,10,50,very_high,,,,,,,,,,
AASCSC,Charitable Ventures,event,,4/15/2020,,,,,Santa Ana,"901 w 1st st, santa ana 92701",,,,,,,,,,,,,,90,very_high,100,very_high,"immigrants_refugees, limited_english_proficient_indi",90,,90,very_high,"chinese, min nan chinese, spanish, vietnamese, other",,,,,,85,,,,,,,,,,5,,,,2,,,,,3,60,very_high,,,,,,,,,,
OC Herald Center,Charitable Ventures,event,Love Pack Give Away,8/19/2020,,,,,Santa Ana,"901 w 1st st, santa ana, ca 92703",,,,,,,,,,,,,,42,high,100,high,,,,,high,chinese,,,,,,40,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,
AASCSC,Charitable Ventures,meeting,,3/5/2020,,,,,,"9200 bolsa ave, westminster, ca 92683",,,,,,,,,,,,,,50,,100,high,"immigrants_refugees, children_ages_0_5, limited_english_proficient_indi",50,25,40,high,"chinese, mandarin, min nan chinese",,,,,,50,,,,,,,,,50,40,,,,,,,,,,,very_high,,,,,,,,,,
"Southland Integrated Services, Inc.",Charitable Ventures,event,distributing census flyers at community food distribution event (Stanton),7/7/2020,,,,,Stanton,"7800 katella ave, stanton ca 90680",,,,,,,,,,,,,,250,exact,95,very_high,"immigrants_refugees, limited_english_proficient_indi",95,,85,high,vietnamese,,,,,,,,,,,,,,,,,,,,,,,,,100,,medium,,,,,,,,,,
California Healthy Nail Salon Collaborative,Charitable Ventures,event,,3/9/2020,,,,,Westminster,"14771 moran st., westminster, ca 92683","A coalition of AAPI-serving CBOs in Orange County hosted a press conference in Little Saigon. Speakers included both youth and elders from educational, faith-based, beauty care, and health care organizations, including the co-owner of a beauty college in Garden Grove, which has a high percentage of HTC residents. ",,,,,,,,,,,,,30,medium,75,medium,"immigrants_refugees, limited_english_proficient_indi",30,,15,medium,vietnamese,,,,,,,,,,,,,,,,,,,,,,,,,20,,medium,,,,,,,,,,
"Southland Integrated Services, Inc. ",Charitable Ventures,event,food distribution at community center,2/27/2020,2/27/2020,,,,Westminster,"15460 magnolia st, westminster, ca 92683",,,,,,,,,,,,,,50,very_high,90,high,"immigrants_refugees, limited_english_proficient_indi",50,,40,high,vietnamese,,,,,,,,,,,,,,,,,,,,,,,,,50,,very_high,,,,,,,,,,
Latino Health Access,Charitable Ventures,media_other,Educational messages via a loudspeaker from LHA Infomovil - a van that drives to supermarkets and food distribution events and educates people via messages thru a loudspeaker.,4/3/2020,,,,,,"602 e 4th st, santa ana",At Familias Corazones Verdes Park & Community Center,,,,,,,,,,,,,352,very_high,100,very_high,immigrants_refugees,300,,,high,spanish,,,,,,,,,,,,,,,,,,,,300,,,,,,,high,,,,,,,,,,
Orange County United Way,Charitable Ventures,event,,2/1/2020,,,,,Westminster,"7101 wyoming street, westminster ca 92683",Community Tax Services,,,,OC Free Tax Prep,Infividuals & Families,,54,(13)  What you need to know-English (35) What you need to know-Spanish  (6) What you need to know-Vietnamese,,,,,74,high,90,high,"immigrants_refugees, children_ages_0_5, limited_english_proficient_indi",67,6,67,high,"farsi, russian, spanish, vietnamese, other",,,,,,,2,,,,,,,,,,,,300,50,,,,,6,14,high,YES,NO,NO,NO,NO,,,,,
CAP OC ,Charitable Ventures,flyers,,8/31/2020,8/1/2020,,,,Anaheim,"10841 garza ave, anaheim 92804",,,,,,,,,,,,,,275,exact,100,high,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAP OC ,Charitable Ventures,flyers,,9/30/2020,9/1/2020,,,,Anaheim,"10841 garza ave, anaheim 92804",,,,,,,,,,,,,,250,exact,100,high,,,,,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAIR-LA,Charitable Ventures,flyers,,7/31/2020,,,,400,Anaheim,"1220 n state college blvd, anaheim 92806",IIOC EID AL-ADHA DRIVE-THRU: SPONSORED SWEETS TO PASS OUT WITH CENSUS FLYERS ATTACHED ,,,,EID DRIVE-THRU,COMMUNITY MEMBERS,,,,,,,,400,MEDIUM,95,MEDIUM,immigrants_refugees,70,,,MEDIUM,"arabic, hindi",45,,,,,,,,40,,,,,,,,,,,,,,,,,,MEDIUM,,,,,,,,,,
Jamboree Housing Corporation,Charitable Ventures,flyers,,3/25/2020,,,,,Anaheim,"1270 east lincoln ave, anaheim 92805",,,,,,,,,,,,,,70,very_high,100,very_high,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access California Services,Charitable Ventures,social_media,AccessCal completed a Facebook Live on the AccessCal Drive-Thru Eid Distribution which included informaiton about the Census,5/21/2020,5/21/2020,,,,,"631 s. brookhurst st. suite 107, anaheim 92804",AccessCal conducted a Facebook live coverage of the AccessCal Drive Thru Eid Toy Distribution which included information about the Census,,,,,,,,,,,,,883,high,75,high,,,,,very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AASCSC,Charitable Ventures,social_media,,5/26/2020,,,,,,statewide,,,,,,,,,,,,,,340,very_high,100,medium,"immigrants_refugees, limited_english_proficient_indi",290,,200,medium,"chinese, mandarin",,,,,,200,,,,,,,,,200,,,,,,,,,,,,medium,,,,,,,,,,
Access California Services,Charitable Ventures,education_forum,AccesCal took part in an online educational forum about the Census in the MENA communities,5/13/2020,5/13/2020,,,,,"631 s. brookhurst st. suite 107, anaheim, ca 92804","AccessCals Founder & Executive Director, Nahla Kayali was a speaker on an online eductioanl forum regarding the Census and the MENA community.  She spoke about the barriers the MENA community faces in completing the Census",,,,,,,,,,,,,75,high,75,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamboree Housing Corporation,Charitable Ventures,flyers,,4/23/2020,,,,,Anaheim,"1270 east lincoln ave, anaheim 92805",Shared census promotional materials  at Rockwood Apartments,,,,,,,,,,,,,70,very_high,100,very_high,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discovery Cube ,Charitable Ventures,social_media,,5/28/2020,5/28/2020,,,,,"2500 n main st, santa ana 92705",,,https://www.facebook.com/discoverycubeoc/posts/10156815147445881  ,,,,,,,,,,,1576,exact,100,exact,,,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAVE,Charitable Ventures,flyers,,5/19/2020,,,,,,"32082 camino capistrano, san juan capistrano 92675",,,,,,,,200,,,,,,200,medium,70,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AASCSC,Charitable Ventures,other,reporter,1/17/2020,,,,,,853 n. birch street santa ana 92701,,,,,,,,,,,,,,5000,high,100,high,"immigrants_refugees, limited_english_proficient_indi",5000,,4000,high,chinese,,,,,,5000,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,
Project Access,Charitable Ventures,flyers,Posting flyers,3/9/2020,3/9/2020,,,,Anaheim,"130 n citrus ranch rd, anaheim 92805",,,,,,,,,,,,,,150,high,80,high,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,
Jamboree Housing Corporation,Charitable Ventures,flyers,,3/25/2020,,,,,Anaheim,"1310 w. diamond street, anaheim 92801",,,,,,,,,,,,,,25,very_high,100,very_high,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamboree Housing Corporation,Charitable Ventures,flyers,,3/25/2020,,,,,Anaheim,"1860 w. crescent, anaheim 92801",,,,,,,,,,,,,,62,very_high,100,very_high,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Asian Network,Charitable Ventures,social_media,,5/1/2020,,,,,,facebook,,,,,,,,,,Facebook,,,,99,exact,90,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamboree Housing Corporation,Charitable Ventures,flyers,,7/15/2020,,,,,Anaheim,"225 southwestern ave, anaheim 92804",Shared census promotional materials  at Miracle Terrace Apartments,,,,,,,,,,,,,178,very_high,100,very_high,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
