,cbo_name,parent_organization,activity_type,activity_type_other,date_of_activity,activity_end_date,advertising_end_date,total_number_of_alert_sign_ups,total_people_spoken_to,City,address,description,total_number_of_houses,how_assisted,total_number_assisted,event_name,audience_details,education_grade,activity_total_material_dist,activity_collateral_dtls,activity_social_media_chan,total_number_nudgedalerted,total_number_of_calls,total_number_of_pledge_cards,total_number_of_impressions,impression_data_accuracy_confid,total_htc_of_impressions,htc_data_accuracy_confidence,immigrants_refugees,middle_eastern_and_north_africa,homeless_individuals_and_famili,farmworkers,veterans,latinos,asian_americans_pacific_islande,african_americans,native_americans_tribal_communi,children_ages_0_5,lesbian_gay_bisexual_transgende,limited_english_proficient_indi,people_with_disabilities,seniorsolder_adults,low_broadband_subscription_rate,htc_breakdown_data_confidence,lang_arabic,lang_armenian,lang_assyrian_neo_aramaic,lang_cantonese,lang_chaldean_neo_aramaic,lang_chinese,lang_farsi,lang_filipino,lang_hindi,lang_hmong,lang_iu_mien,lang_japanese,lang_khmer,lang_korean,lang_mandarin,lang_min_nan_chinese,lang_portuguese,lang_punjabi,lang_russian,lang_spanish,lang_tagalog,lang_telugu,lang_thai,lang_ukrainian,lang_vietnamese,lang_other_info,lang_breakdown_data_confidence,funding_state_allocated,funding_county_direct,funding_acbo_direct,funding_foundation,funding_private,funding_volunteer_hours,qac_total_had_info_no_census,qac_total_completed_pc,qac_total_completed_phone,qac_total_completed_uscb_phone,city_match
161,The Cambodian Family,Charitable Ventures,advertising,Social Media Post,3/1/2020,,,,,Santa Ana,"1628 e. 4th street, santa ana 92701",,,,,,,,,,,,,,185,Exact,100.0,Exact,,,,,,,,,,,,,,,,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,,,,,,,,,,,Santa Ana
162,The Cambodian Family,Charitable Ventures,advertising,Social Media Post,2/29/2020,,,,,Santa Ana,"1629 e. 4th street, santa ana 92701",,,,,,,,,,,,,,2207,Exact,100.0,Exact,,,,,,,,,,,,,,,,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,,,,,,,,,,,Santa Ana
163,AASCSC,Asian American Senior Citizens Service Center,social_media,,5/8/2020,,,,,,orange,,,,,,,,,,,,,,210,very_high,100.0,medium,100.0,,,,,50.0,100.0,,,,,50.0,,,,medium,,,,,,100.0,,,,,,,,,100.0,,,,,,,,,,,,medium,,,,,,,,,,,Orange
164,Catholic Charities of Orange County,Charitable Ventures,advertising,,4/3/2020,,,,,Santa Ana,"1800 e.  17th street, santa ana  92705",email outreach to past immigration clients,,,,,,,,,Mailchimp,,,,2512,high,80.0,very_high,2000.0,,,,,,,,,,,,,,,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Santa Ana
165,OC Human Relations,Charitable Ventures,advertising,T-Shirts/Bags distribution,9/15/2020,,,,,Santa Ana,"810 s. minnie st, santa ana 92701",,,,,,,,,,,,,,300,high,95.0,high,200.0,,10.0,,,280.0,10.0,10.0,,200.0,,220.0,12.0,12.0,200.0,medium,,,,,,,,,,,,,,,,,,,,300.0,,,,,,,high,YES,NO,NO,NO,NO,,,,,,Santa Ana
166,OC Human Relations,Charitable Ventures,advertising,T-shirts/Bags distribution,9/15/2020,,,,,Santa Ana,"821 s. towsend st., santa ana 92704",,,,,,,,,,,,,,300,high,95.0,high,200.0,,10.0,,,280.0,10.0,10.0,,160.0,,250.0,10.0,10.0,200.0,high,,,,,,,,,,,,,,,,,,,,300.0,,,,,,,high,YES,NO,NO,NO,NO,,,,,,Santa Ana
167,OC Human Relations,Charitable Ventures,advertising,T-Shirts and Tote Bags distribution,8/26/2020,,,,,Santa Ana,"924 s minnie st, santa ana 92701",,,,,,,,,,,,,,200,high,95.0,high,160.0,,,,,180.0,10.0,8.0,,120.0,,120.0,,20.0,80.0,high,,,,,,,,,,,,,,,,,,,,180.0,,,,,,,high,YES,NO,NO,NO,NO,,,,,,Santa Ana
168,OC Human Relations,Charitable Ventures,advertising,Posters at Station Liquor & Deli,3/23/2020,,,,,Tustin,"16471 mcfadden ave, tustin 92780",,,,,,,,,,,,,,300,medium,80.0,high,220.0,20.0,12.0,,,220.0,40.0,12.0,,120.0,,160.0,,30.0,,high,,,,,,,,,,,,,,,,,,,,220.0,,,,,,,medium,yes,no,no,no,no,,,,,,Tustin
169,OC Human Relations,Charitable Ventures,advertising,Posters at Station Liquor & Deli,3/23/2020,,,,,Tustin,"16471 mcfadden ave, tustin 92780",,,,,,,,,,,,,,300,medium,80.0,high,220.0,20.0,12.0,,,220.0,40.0,12.0,,120.0,,160.0,,30.0,,high,,,,,,,,,,,,,,,,,,,,220.0,,,,,,,medium,yes,no,no,no,no,,,,,,Tustin
170,The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,6/23/2020,,,,,,orange,,,,,,,,,,,,,,2150,high,90.0,very_high,1935.0,,,,,,,,,,,,,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,,Orange
171,The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,7/19/2020,,,,,,orange,,,,,,,,,,,,,,2150,high,90.0,very_high,1935.0,,,,,,,,,,,,,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,,Orange
172,Latino Health Access,Charitable Ventures,phone_banking,,5/14/2020,,,,,,orange,"Phone calls to LHA participants (LHA database from past 2 years. Demograpic is representative of HTC populations: immigrant, extremely low-income, seniors from thruout OC.",,,,,,,,,,,,,62,exact,100.0,very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orange
173,OC Human Relations,Charitable Ventures,advertising,Posters at Station Liquor and Deli,4/13/2020,,,,,Tustin,"16471 mcfadden ave., tustin 92780",,,,,,,,,,,,,,300,high,80.0,high,220.0,10.0,12.0,,,220.0,40.0,12.0,,120.0,,160.0,2.0,,30.0,medium,,,,,,,,,,,,,,,,,,,,240.0,,,,,,,medium,YES,NO,NO,NO,NO,,,,,,Tustin
174,OC Human Relations,Charitable Ventures,advertising,T-shirts and bags distribution. Door hungers,9/21/2020,,,,,Tustin,"245 el camino real, tustin 92780",,,,,,,,,,,,,,120,high,95.0,high,100.0,20.0,,6.0,10.0,80.0,8.0,16.0,,60.0,,20.0,10.0,40.0,20.0,high,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,high,YES,NO,NO,NO,NO,,,,,,Tustin
175,Institute for Healthcare Advancement ,Charitable Ventures,social_media,Twitter,4/20/2020,,4/24/2020,,,,orange,Social Media Post,,,,,,,,,,,,,371,very_high,90.0,very_high,10.0,5.0,3.0,,10.0,79.0,5.0,,,35.0,,35.0,,3.0,,low,,,,,,,,,,,,,,,,,,,,371.0,,,,,,,very_high,,,,,,,,,,,Orange
176,South Asian Network,Charitable Ventures,booths,,3/7/2020,3/7/2020,,10.0,100.0,Anaheim,"1151 n la palma pkwy, anaheim, ca 92801",Holi Festival ,,,,,Indian Community,,50.0,"flyers, timeline of operations ",,,,,50,high,100.0,exact,40.0,,,,,,50.0,,,15.0,,40.0,,,,very_high,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,high,,,,,,,,,,,Anaheim
177,Access California Services,Charitable Ventures,booths,Friday Prayer,2/14/2020,2/14/2020,,,,Anaheim,"1717 s brookhurst st, anaheim, ca 92804",Audience consisted of the HTC MENA/Muslim populations ranging in socio-economic backgrounds.  Also high percentage of South Asian population,,,,Friday Prayer ,,,,,,,,,300,high,70.0,high,60.0,200.0,,,,10.0,,20.0,,,,,,,,high,250.0,,,,,,,,10.0,,,,,,,,,,,,,,,,,,high,,,,,,,,,,,Anaheim
178,Institute for Healthcare Advancement ,Charitable Ventures,social_media,Twitter,7/14/2020,7/27/2020,7/31/2020,,,,orange,Social Media Post,,,,,,,,,,,,,552,very_high,90.0,very_high,10.0,5.0,3.0,,10.0,79.0,5.0,,,35.0,,35.0,,3.0,,low,,,,,,,,,,,,,,,,,,,,552.0,,,,,,,very_high,,,,,,,,,,,Orange
179,CAP OC,Charitable Ventures,booths,,2/1/2020,,,,,Anaheim,"201 w center street promenade, anaheim, ca 92805",,,,,Black History Month Cultural Fair,,,34.0,,,,,,34,exact,80.0,high,,,1.0,,,3.0,4.0,19.0,,3.0,,,,2.0,,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,yes,no,no,no,no,6.0,,,,,Anaheim
180,KCS,Charitable Ventures,booths,Tabling flyers and Q&A,3/7/2020,3/8/2020,,,,Anaheim,"412 n crescent way anaheim, ca 92801",,,,,,,,140.0,,,,,,140,very_high,98.0,very_high,140.0,,,,,,140.0,,,,,,,,,exact,,,,,,,,,,,,,,140.0,,,,,,,,,,,,,exact,,,,,,,,,,,Anaheim
181,OC Human Relations,Charitable Ventures,booths,,2/12/2020,,,,,Anaheim,"601 n brookhurst st., anaheim, ca 92801",Brookhurst Junior High School Open House,,,,,,,,,,,,,280,medium,95.0,high,70.0,8.0,,,,240.0,12.0,6.0,,140.0,,180.0,2.0,22.0,60.0,high,,,,,,,,,,,,,,,,,,,,240.0,,,,,,,very_high,yes,no,no,no,no,,,,,,Anaheim
182,CAP OC ,Charitable Ventures,booths,,2/25/2020,,,,,Brea,"1 civic center cir # 1, brea, ca 92821",,,,,,,,,,,,,,35,exact,100.0,high,,,,,,,,,,,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,,Brea
183,South Asian Network,Charitable Ventures,booths,,2/23/2020,2/23/2020,,,300.0,Buena Park,"7122 orangethorpe ave, buena park, ca 90621",Tabling & Announcements at Buena Park Gurdwara ,,,,,"Sikh, Punjabi Community",,70.0,"Flyers, Infosheets  ",,,,,300,high,100.0,Exact,150.0,,,,,,300.0,,,100.0,,250.0,,100.0,,high,,,,,,,,,,,,,,,,,,300.0,,,,,,,,,exact,,,,,,,,,,,Buena Park
184,AASCSC,Charitable Ventures,social_media,,5/26/2020,,,,,,orange,,,,,,,,,,,,,,220,very_high,100.0,medium,150.0,,,,,50.0,100.0,,,,,100.0,,,,medium,,,,,,100.0,,,,,,,,,100.0,,,,,,,,,,,,medium,,,,,,,,,,,Orange
185,KCS,Charitable Ventures,booths,,1/29/2020,,,,30.0,Buena Park,7212 orangethorpe ave #8 buena park 90621,Outreach during n 400 preparation class,,,,,,,30.0,,,,,,30,high,100.0,high,30.0,,,,,,30.0,,,,,,,10.0,,exact,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,exact,,,,,,,,,,,Buena Park
186,KCS ,Charitable Ventures,booths,Tabling flyers and Q&A,3/6/2020,,,,,Buena Park,7212 orangethorpe ave. buena park ca 90621,,,,,KCS Food Pantry,,,100.0,,,,,,107,exact,100.0,exact,100.0,,,,,,50.0,,,,,40.0,,50.0,,high,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,very_high,,,,,,,,,,,Buena Park
187,KCS,Charitable Ventures,booths,Tabling flyers and Q&A,2/7/2020,,,,,Buena Park,"7212 orangethorpe ave. buena park, ca 90621",,,,,KCS Food Pantry,KCS food pantry customers,,,,,,,,100,high,100.0,very_high,75.0,,,,,,70.0,,,,,70.0,,,,high,,,,,,,,,,,,,,70.0,,,,,,10.0,,,,,,,high,,,,,,,,,,,Buena Park
188,KCS,Charitable Ventures,booths,,1/10/2020,,,,120.0,Buena Park,7212 orangethorpe ave. parking lot buena park 90621,Tabled flyers and fielded questions from KCS monthly food bank clients,,,,,,,,,,,,,120,high,85.0,high,115.0,,,,,,110.0,2.0,,,,110.0,,82.0,,very_high,,,,,,,,,,,,,,110.0,,,,,,4.0,,,,,,,very_high,,,,,,,,,,,Buena Park
189,Orange County Labor Federation,Charitable Ventures,booths,set up a booth for their membership meeting and shared information about the Census. Also collected Pledge Cards.,3/11/2020,,,,,Buena Park,"8530 stanton ave, buena park, ca 90620",,,,,,,,,,,,,,311,very_high,70.0,high,,,,,,,,,,,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,,Buena Park
190,The Cambodian Family,Charitable Ventures,booths,,2/8/2020,,,,,Costa Mesa,"2990 mesa verde dr. e., costa mesa, ca 92626",,,,,,,,,,,,,,200,high,97.0,high,,,,,,,,,,,,,,,,medium,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,high,,,,,,,,,,,Costa Mesa
191,AASCSC,Charitable Ventures,booths,,2/22/2020,,,,,Costa Mesa,"600 town center dr, costa mesa",,,,,,,,,,,,,,1000,high,100.0,high,500.0,,,,,,800.0,,,100.0,,500.0,,400.0,400.0,high,,,,100.0,,500.0,,,,,,,,,500.0,100.0,,,,,,,,,,200.0,high,,,,,,,,,,,Costa Mesa
192,The Cambodian Family,Charitable Ventures,booths,,1/25/2020,,,,,Fountain Valley,"16801 euclid st, fountain valley, ca 92708",Tet; Lunar New Years Festival at Mile Square Park,,,,,,,,,,,,,463,medium,90.0,high,400.0,,,,,,400.0,,,150.0,,200.0,,100.0,,medium,,,,,,,,,,,,,30.0,,,,,,,,,,,,400.0,,high,,,,,,,,,,,Fountain Valley
193,Latino Health Access,Charitable Ventures,social_media,,8/9/2020,,,,,,orange,Social Netwok ,,,,,,,,,,,,,2992,exact,100.0,very_high,,,,,,,,,,,,,,,,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,,,,,,,,,,,Orange
194,The Cambodian Family,Charitable Ventures,booths,,1/26/2020,,,,,Fountain Valley,"16801 euclid st, fountain valley, ca 92708",Tet; Lunar New Years Festival at Mile Square Park,,,,,,,,,,,,,300,medium,100.0,exact,300.0,,,,,,300.0,,,,,,,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fountain Valley
195,The Cambodian Family,Charitable Ventures,booths,,2/16/2020,,,,,Fountain Valley,"16801 euclid st, fountain valley, ca 92708",Tet; Lunar New Years Festival at Mile Square Park,,,,,,,,,,,,,300,medium,100.0,exact,300.0,,,,,,300.0,,,,,,,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fountain Valley
196,VietRISE,Charitable Ventures,social_media,Social Media (Instagram) advertisement to share details of the press conference and impact of the census on undercounted Vietnamese and immigrant communities,3/7/2020,3/8/2020,3/8/2020,,,,orange,,,,,,,,,,,,,,534,medium,90.0,medium,,,,,,65.0,469.0,,,,,,,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,469.0,,medium,,,,,,,,,,,Orange
197,South Asian Network,Charitable Ventures,webinar,,8/14/2020,,,,,,orange,Webinar - Anti-Blackness in AAPI Communities ,,,,,,,,,Zoom and Facebook Live,,,,2200,high,80.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orange
198,The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,7/18/2020,,,,,,orange,,,,,,,,,,,,,,2150,high,90.0,very_high,1935.0,,,,,,,,,,,,,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,,Orange
199,The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,7/30/2020,,,,,,orange,,,,,,,,,,,,,,2150,high,90.0,very_high,1935.0,,,,,,,,,,,,,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,,Orange
200,CAP OC,Charitable Ventures,phone_banking,,6/1/2020,6/30/2020,,,,,orange,,,,,,,,,,,,,,55,exact,100.0,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orange
201,Latino Health Access,Charitable Ventures,phone_banking,,5/12/2020,,,,,,orange,Virtual Presentation to parents involved in Santa Ana Early Learning Initiative (SAELI),,,,,,,,,,,,,35,exact,100.0,very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,,,,medium,,,,,,,,,,,Orange
202,Latino Health Access,Charitable Ventures,phone_banking,,5/11/2020,,,,,,orange,"Phone calls to LHA participants (LHA database from past 2 years. Demograpic is representative of HTC populations: immigrant, extremely low-income, seniors from thruout OC.",,,,,,,,,,,,,70,exact,100.0,very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orange
203,The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,6/18/2020,,,,,,orange,,,,,,,,,,,,,,2150,high,90.0,very_high,1935.0,,,,,,,,,,,,,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,,Orange
204,KCS,Charitable Ventures,booths,Tabling flyers and Q&A,3/5/2020,,,,,Fullerton,"400 s brookhurst rd, fullerton, ca 92833",,,,,Mobile clinic at the Fullerton Armory Homeless Shelter,,,40.0,,,,,,30,high,80.0,high,20.0,,,,,10.0,,,,,,5.0,,5.0,,high,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,high,,,,,,,,,,,Fullerton
205,KCS,Charitable Ventures,booths,Tabling flyers and Q&A,2/6/2020,,,,,Fullerton,"400 s. brookhurst, fullerton ca 92833",,,,,Mobile Healthcare at the shelter,KCS mobile healthcare customers at the shelter,,,,,,,,50,high,100.0,exact,30.0,,50.0,,20.0,30.0,,6.0,,,,20.0,,5.0,,high,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,high,,,,,,,,,,,Fullerton
206,KCS,Charitable Ventures,booths,Tabling flyers and Q&A,2/13/2020,,,,,Fullerton,"400 s. brookhurst, fullerton ca 92833",,,,,Mobile Healthcare at the shelter,KCS mobile healthcare customers at the shelter,,50.0,,,,,,50,high,100.0,exact,30.0,,50.0,,10.0,30.0,,10.0,,,,20.0,,10.0,,high,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,high,,,,,,,,,,,Fullerton
207,Community Health Initiative of Orange County,Charitable Ventures,nudgealert,Mass texting,6/18/2020,,,,,,orange,We used the Community Motivator tool to text previous clients to participate in the Cessus,,,,,,,,,Texting,,,,991,high,80.0,medium,,,,,,792.0,,,,,,,,,,medium,,,,,,,,,,,,,,,,,,,,792.0,,,,,,,medium,,,,,,,,,,,Orange
208,Access California Services,Charitable Ventures,booths,Friday Prayer,2/21/2020,2/21/2020,,,,Fullerton,"515 w valencia dr suite h, fullerton, ca 92832",Audience consisted of the HTC MENA/Muslim populations ranging in socio-economic backgrounds.  Also high percentage of South Asian population,,,,Islamic Center of fullerton ,,,,,,,,,90,high,90.0,high,20.0,40.0,,,,5.0,,5.0,,,,,,,,high,50.0,,,,,,20.0,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,,Fullerton
209,CAP OC ,Charitable Ventures,booths,,2/28/2020,,,,,Fullerton,"800 n state college blvd, fullerton, ca 92831",,,,,,,,,,,,,,48,high,100.0,high,,,,,,,,,,,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,,Fullerton
210,Access California Services,Charitable Ventures,booths,Friday Prayer,3/6/2020,3/6/2020,,,,Garden Grove,"1 al-rahman plaza, garden grove, ca 92844",Audience consisted of the HTC MENA/Muslim populations ranging in socio-economic backgrounds.  Also high percentage of South Asian population,,,,Al-Rahman Masjid ,,,,,,,,,700,high,80.0,high,,400.0,,,,50.0,,,,,,,,100.0,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,,Garden Grove
211,KCS,Charitable Ventures,booths,,1/8/2020,,,,30.0,Garden Grove,10931 acacia pkwy. garden grove ca 92840,Tabled flyers and fielded questions during seniors weekly craft class,,,,,,,40.0,,,,,,30,high,85.0,high,30.0,,,,,,30.0,,,,,30.0,,30.0,,exact,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,exact,,,,,,,,,,,Garden Grove
212,Latino Health Access,Charitable Ventures,phone_banking,,5/15/2020,,,,,,orange,"Phone calls to LHA participants (LHA database from past 2 years. Demograpic is representative of HTC populations: immigrant, extremely low-income, seniors from thruout OC.",,,,,,,,,,,,,58,exact,100.0,very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orange
213,OC Human Relations,Charitable Ventures,booths,,1/30/2020,,,,,Garden Grove,"12381 dale st., garden grove, ca 92841",Set up a census info booth at the resource fair,,,,,Audience consisted of school parents. High percentage of Latino and South Asian population,,120.0,flyers,,,,,100,high,80.0,high,70.0,4.0,,,,60.0,30.0,3.0,,40.0,,50.0,,6.0,,high,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,medium,YES,NO,NO,NO,NO,,,,,,Garden Grove
214,WAVE,Charitable Ventures,social_media,Facebook post,3/26/2020,,,,,,orange,Multiple FB posts from WAVE and Unidos,,,,,,,,,,,,,1500,medium,70.0,medium,,,,,,,,,,,,,,,,low,,,,,,,,,,,,,,,,,,,,,,,,,,,low,,,,,,,,,,,Orange
215,OC Human Relations,Charitable Ventures,booths,6th grade parent night,2/5/2020,2/5/2020,,,,Garden Grove,"12381 dale st., garden grove, ca 92841",,,,,,,,,,,,,,60,high,100.0,high,55.0,,,,,54.0,4.0,2.0,,40.0,,50.0,,6.0,,medium,,,,,,,,,,,,,,,,,,,,54.0,,,,,,,very_high,YES,NO,NO,NO,NO,,,,,,Garden Grove
216,CAP OC ,Charitable Ventures,booths,,1/22/2020,,,,,Irvine,"102 social ecology i, irvine, ca 92617",,,,,,,,,,,,,,50,exact,100.0,high,,,,,,,,,,,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,low,,,,,,,,,,,Irvine
217,Institute for Healthcare Advancement ,Charitable Ventures,social_media,Facebook ,8/1/2020,8/21/2020,8/21/2020,,,,orange,Social Media Post,,,,,,,,,,,,,140,very_high,90.0,very_high,20.0,2.0,3.0,,,80.0,5.0,,,30.0,,50.0,,15.0,,low,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,very_high,,,,,,,,,,,Orange
218,OC Herald Center,Charitable Ventures,booths,Tainan First Alumuni Chinese New Year Gathering,1/20/2020,1/20/2020,,,50.0,Irvine,"1842 reynolds ave, irvine, ca 92614",,,,,,,,,,,,,,50,high,100.0,exact,,,,,,,50.0,,,,,,,,,exact,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,,Irvine
219,Orange County United Way,Charitable Ventures,booths,,1/11/2020,,,,30.0,Laguna Niguel,"29702 kensington dr. laguna niguel, ca 92677",Gathering Service,,Person,30.0,Gathering,Families,,30.0,Census 2020-What You Need To Know-Spanish,,,,,30,high,100.0,high,,,,,,30.0,,,,,,,,,,high,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,high,YES,NO,NO,NO,NO,,,,,,Laguna Niguel
220,The Cambodian Family,Charitable Ventures,media_other,Khmer TV Census Interview,7/29/2020,,,,,,orange,,,,,,,,,,,,,,2300,high,90.0,very_high,2070.0,,,,,,,,,,,,,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,,Orange
221,Orange County United Way,Charitable Ventures,booths,,1/22/2020,,,,50.0,Santa Ana,"1314 n broadway, santa ana, ca 92706",Bible Meeting,,Person,50.0,Meeting,Seniors,,50.0,Census 2020-What You Need To Know-Spanish,,,,,50,high,100.0,high,,,,,,,,,,,,,50.0,,,high,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,high,YES,NO,NO,NO,NO,,,,,,Santa Ana
222,Community Health Initiative of Orange County ,Charitable Ventures,booths,Resource fair,3/7/2020,,,,,Santa Ana,1450 e. 17th st. santa ana ca 92705,Resource fair for Legacy Charter School. 80% of their students are in free or reduced lunch. Which we can consider to be HTC population. ,,,,,,,54.0,flyer distribution,,,,,54,medium,80.0,medium,,,,,,,,,,,,,,,,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,,,,,,,,,,,Santa Ana
223,The Cambodian Family,Charitable Ventures,booths,,10/2/2020,,,,,Santa Ana,"1610 e 1st st, santa ana ca, 92701",,,,,,,,,,,,,,50,high,100.0,exact,,,,,,,,,,,,,,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,,Santa Ana
224,The Cambodian Family,Charitable Ventures,booths,,8/21/2020,,,,,Santa Ana,"404 n. grand ave, santa ana, ca 92701",,,,,,,,,,,,,,30,very_high,80.0,very_high,,,,,,,,,,,,,,,,very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,,Santa Ana
225,Access California Services,Charitable Ventures,booths,Friday Prayer,2/28/2020,2/28/2020,,,,Westminster,"14522 goldenwest st, westminster,ca 92683",Audience consisted of the HTC MENA/Muslim populations ranging in socio-economic backgrounds.  Also high percentage of South Asian population,,,,Alnoor foundation ,,,,,,,,,400,high,80.0,high,,300.0,,,,,,,,,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,,Westminster
226,The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,7/26/2020,,,,,,orange,,,,,,,,,,,,,,2150,high,90.0,very_high,1935.0,,,,,,,,,,,,,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,,Orange
227,Access California Services,Charitable Ventures,booths,Family resource fair ,2/28/2020,2/28/2020,,,,Westminster,"7200 plaza st, westminster, ca 92683",Audience consisted of the Lationo populatons. Also south Asian population.,,,,Family Resource Fair ,,,,,,,,,70,high,70.0,high,,,,5.0,,50.0,,,,,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,,Westminster
228,OC Human Relations,Charitable  Ventures,canvassing,Door hungers,7/30/2020,,,,,Anaheim,"1300 n fashion ln, anaheim 92806",,,,,,,,,,,,,,125,high,95.0,high,110.0,,8.0,,,80.0,10.0,5.0,,40.0,,60.0,6.0,12.0,30.0,high,,,,,,,,,,,,,,,,,,,,125.0,,,,,,,high,YES,NO,NO,NO,NO,,,,,,Anaheim
229,OC Human Relations,Charitable Ventures,canvassing,,3/3/2020,,,,,Anaheim,"2100 w alameda ave, anaheim 92801","Canvass on W Alameda St and surrounding areas: 2100 W Brownwood Ave, 2100 W Catalina Ave, 100-200-300 N Brookhurst St. Anaheim, CA 92801",,,,,,,290.0,flyers,,,,,260,high,98.0,very_high,220.0,2.0,,,,200.0,40.0,4.0,,160.0,,180.0,2.0,12.0,60.0,medium,,,,,,,,,,,,,,,,,,,,200.0,,,,,,,very_high,yes,no,no,no,no,2.0,,,,,Anaheim
230,OC Human Relations,Charitable Ventures,canvassing,Door hungers and flyers in Apartment Complexes and neighborhood areas,6/27/2020,,,,,Anaheim,"2130 crescent ave., anaheim 92801",,,,,,,,,,,,,,236,exact,90.0,high,160.0,23.0,,,,118.0,23.0,11.0,,120.0,,150.0,,,80.0,medium,,,,,,,,,,,,,,,,,,,,116.0,,,,,,,very_high,YES,NO,NO,NO,NO,4.0,,,,,Anaheim
231,OC Human Relations,Charitable Ventures,canvassing,,3/5/2020,,,,,Anaheim,"2300 w greenacre ave, anaheim 92801","Canvass on 2300 W Greenacre Ave and surrounding areas: 2300 Gramercy Ave, 600 N Ventura St, 600 N Alamo St. Anaheim, CA 92801",,,,,,,480.0,flyers,,,,,420,High,100.0,high,370.0,6.0,,,,360.0,20.0,4.0,,200.0,,300.0,6.0,22.0,60.0,medium,,,,,,,,,,,,,,,,,,,,360.0,,,,,,,very_high,yes,no,no,no,no,1.0,,,,,Anaheim
