,cbo_name,activity_type,activity_type_other,City,city_extracted,htc_category
2243,CAIR-LA,event,,Irvine,Irvine,Middle Eastern & North African (MENA)
2244,Orange County United Way,event,,Irvine,Irvine,Middle Eastern & North African (MENA)
2247,CAIR-LA,event,,Mission Viejo,Mission Viejo,Middle Eastern & North African (MENA)
2248,CAIR-LA,event,,Mission Viejo,Mission Viejo,Middle Eastern & North African (MENA)
2300,Access California Services,event,Access Gala Event ,,Anaheim,Middle Eastern & North African (MENA)
2308,Catholic Charities of Orange County,event,,Santa Ana,Santa Ana,Middle Eastern & North African (MENA)
2310,Institute for Healthcare Advancement ,booths,Outreach,,La Habra,Middle Eastern & North African (MENA)
2315,Catholic Charities of Orange County,event,,Santa Ana,Santa Ana,Middle Eastern & North African (MENA)
2326,OCAPICA,speaking_engagement,coasltine students,,Garden Grove,Middle Eastern & North African (MENA)
2364,California Healthy Nail Salon Collaborative,event,,Westminster,Westminster,Middle Eastern & North African (MENA)
2367,Orange County United Way,event,,Westminster,Westminster,Middle Eastern & North African (MENA)
2370,CAIR-LA,flyers,,Anaheim,Anaheim,Middle Eastern & North African (MENA)
2384,Access California Services,flyers,distributed Census postcards to families who picked up toys for AccessCals Drive-Thru Eid Wish List ,Anaheim,Anaheim,Middle Eastern & North African (MENA)
2387,Access California Services,flyers,distributed Census postcards to families who picked up toys for AccessCals Drive-Thru Eid Toy Distribution ,Anaheim,Anaheim,Middle Eastern & North African (MENA)
2390,OCAPICA,social_media,social media,,Garden Grove,Middle Eastern & North African (MENA)
2407,Project Access,flyers,flyers,Cypress,Cypress,Middle Eastern & North African (MENA)
2408,Project Access ,flyers,Food Bank Distribution ,Cypress,Cypress,Middle Eastern & North African (MENA)
2409,Project Access,flyers,,Cypress,Cypress,Middle Eastern & North African (MENA)
2410,CAIR-LA,webinar,Census Webinar (Facebook and Youtube),,,Middle Eastern & North African (MENA)
2411,Project Access ,flyers,Food pantry distribution,Cypress,Cypress,Middle Eastern & North African (MENA)
2422,Discovery Cube OC,flyers,,Fullerton,Fullerton,Middle Eastern & North African (MENA)
2424,CAIR-LA,flyers,,Fullerton,Fullerton,Middle Eastern & North African (MENA)
2425,CAIR-LA,flyers,Census swag bags provided to 125 individuals at ICNA weekly food pantry,Fullerton,Fullerton,Middle Eastern & North African (MENA)
2431,CAIR-LA,flyers,,Garden Grove,Garden Grove,Middle Eastern & North African (MENA)
2447,Jamboree Housing Corporation,flyers,,Irvine,Irvine,Middle Eastern & North African (MENA)
2448,Jamboree Housing Corporation,flyers,,Irvine,Irvine,Middle Eastern & North African (MENA)
2465,OCAPICA,webinar,,,Garden Grove,Middle Eastern & North African (MENA)
2476,California Healthy Nail Salon Collaborative,social_media,,,,Middle Eastern & North African (MENA)
2506,OCAPICA,training_delivery,all staff meeting,,Garden Grove,Middle Eastern & North African (MENA)
2516,Access California Services,media_other,"AccessCal hosted a mental health webinar and at the end of webinar, AccessCal staff discussed the importance of the Census to the viewers",Anaheim,Anaheim,Middle Eastern & North African (MENA)
2552,CAIR-LA,event,,,Irvine,Middle Eastern & North African (MENA)
2579,Institute for Healthcare Advancement ,social_media,Instagram,,Orange,Middle Eastern & North African (MENA)
2589,CAIR-LA,webinar,Census Live Run Through (Facebook Webinar),,,Middle Eastern & North African (MENA)
2595,OCAPICA,webinar,,,Garden Grove,Middle Eastern & North African (MENA)
2596,OCAPICA,speaking_engagement,,,Westminster,Middle Eastern & North African (MENA)
2648,OCAPICA,phone_banking,census phonebanking during primaries season,,Garden Grove,Middle Eastern & North African (MENA)
2820,OCAPICA,nudgealert,,,Buena Park,Middle Eastern & North African (MENA)
2824,OCAPICA,social_media,social media,,Garden Grove,Middle Eastern & North African (MENA)
2825,OCAPICA,webinar,,,Garden Grove,Middle Eastern & North African (MENA)
2826,OCAPICA,webinar,,,Garden Grove,Middle Eastern & North African (MENA)
2827,OCAPICA,social_media,social media,,Garden Grove,Middle Eastern & North African (MENA)
2829,OCAPICA,collateral,,,Garden Grove,Middle Eastern & North African (MENA)
2929,OCAPICA,phone_banking,,Garden Grove,Garden Grove,Middle Eastern & North African (MENA)
2939,Jamboree Housing Corporation,phone_banking,,Irvine,Irvine,Middle Eastern & North African (MENA)
2940,Jamboree Housing Corporation,phone_banking,,Irvine,Irvine,Middle Eastern & North African (MENA)
2943,Jamboree Housing Corporation,phone_banking,,Mission Viejo,Mission Viejo,Middle Eastern & North African (MENA)
2966,Institute for Healthcare Advancement ,booths,Outreach,,La Habra,Middle Eastern & North African (MENA)
3063,California Healthy Nail Salon Collaborative,phone_banking,,Orange,Orange,Middle Eastern & North African (MENA)
3064,California Healthy Nail Salon Collaborative,phone_banking,,Orange,Orange,Middle Eastern & North African (MENA)
3066,California Healthy Nail Salon Collaborative,phone_banking,,Orange,Orange,Middle Eastern & North African (MENA)
3067,OCAPICA,social_media,social media,,Garden Grove,Middle Eastern & North African (MENA)
3071,California Healthy Nail Salon Collaborative,phone_banking,,Orange,Orange,Middle Eastern & North African (MENA)
3074,California Healthy Nail Salon Collaborative,phone_banking,,Orange,Orange,Middle Eastern & North African (MENA)
3080,OCAPICA,nudgealert,,,Garden Grove,Middle Eastern & North African (MENA)
3094,OCAPICA,event,,,Irvine,Middle Eastern & North African (MENA)
3098,OCAPICA,social_media,social media,,Garden Grove,Middle Eastern & North African (MENA)
3122,CAIR-LA,phone_banking,TEXTBANKING*,Orange,Orange,Middle Eastern & North African (MENA)
3129,CAIR-LA,phone_banking,Phonebanking ,Orange,Orange,Middle Eastern & North African (MENA)
3144,The LGBTQ Center OC,phone_banking,Called members of our phone list to check in with them during this COVID-19 situation while at the same time seeing if they had completed the census yet.,Santa Ana,Santa Ana,Middle Eastern & North African (MENA)
3147,The LGBTQ Center OC,phone_banking,called members of our phone list to check in with them during this COVID-19 situation while at the same time seeing if they had completed the census yet.,Santa Ana,Santa Ana,Middle Eastern & North African (MENA)
3163,OCAPICA,webinar,,,Garden Grove,Middle Eastern & North African (MENA)
3169,Institute for Healthcare Advancement ,social_media,Facebook ,,Orange,Middle Eastern & North African (MENA)
3173,Institute for Healthcare Advancement ,booths,Outreach,,La Habra,Middle Eastern & North African (MENA)
3235,Council on Americans Islamic Relations,pledge_cards,Friday Prayer,Irvine,Irvine,Middle Eastern & North African (MENA)
3241,AltaMed,pledge_cards,,Santa Ana,Santa Ana,Middle Eastern & North African (MENA)
3284,OCAPICA,meeting,,,Garden Grove,Middle Eastern & North African (MENA)
3326,OCAPICA,webinar,,,Garden Grove,Middle Eastern & North African (MENA)
3374,OC Human Relations,social_media,Videos and Post in several languages,Orange,Orange,Middle Eastern & North African (MENA)
3382,OC Human Relations,social_media,post in several languages,Orange,Orange,Middle Eastern & North African (MENA)
3405,OC Human Relations,social_media,,Orange,Orange,Middle Eastern & North African (MENA)
3419,OC Human Relations,social_media,,Orange,Orange,Middle Eastern & North African (MENA)
3421,California Healthy Nail Salon Collaborative,social_media,,,,Middle Eastern & North African (MENA)
3424,OC Human Relations,social_media,,Orange,Orange,Middle Eastern & North African (MENA)
3470,CAIR-LA,webinar,Census Live Run Through (Facebook Webinar),,,Middle Eastern & North African (MENA)
3497,OCAPICA,training_delivery,,Garden Grove,Garden Grove,Middle Eastern & North African (MENA)
3518,Access California Services,nudgealert,Reminder voice text to HTC community members,,Anaheim,Middle Eastern & North African (MENA)
3528,OC Human Relations,canvassing,,,,Middle Eastern & North African (MENA)
3535,CAIR-LA,phone_banking,TEXTBANKING*,,Orange,Middle Eastern & North African (MENA)
3536,OC HUman Relations,advertising,Organizational Website,,Orange,Middle Eastern & North African (MENA)
3550,The LGBTQ Center OC,phone_banking,called members of our phone list to check in with them during this COVID-19 situation while at the same time seeing if they had completed the census yet.,,,Middle Eastern & North African (MENA)
3554,OCAPICA,training_delivery,,,Garden Grove,Middle Eastern & North African (MENA)
3556,OCAPICA,webinar,,,Garden Grove,Middle Eastern & North African (MENA)
3557,OCAPICA,social_media,social media,,Garden Grove,Middle Eastern & North African (MENA)
3559,OCAPICA,social_media,social media,,Garden Grove,Middle Eastern & North African (MENA)
3578,The LGBTQ Center OC,phone_banking,Called members of our phone list to check in with them during this COVID-19 situation while at the same time seeing if they had completed the census yet.,,,Middle Eastern & North African (MENA)
3599,California Healthy Nail Salon Collaborative,social_media,,,,Middle Eastern & North African (MENA)
3603,Institute for Healthcare Advancement ,social_media,Twitter,,Orange,houseless
3605,Institute for Healthcare Advancement ,social_media,Facebook ,,Orange,houseless
3606,Institute for Healthcare Advancement ,advertising,Street Banner,,Orange,houseless
3612,Institute for Healthcare Advancement ,advertising,Street Banner,,La Habra,houseless
3614,Institute for Healthcare Advancement ,social_media,Facebook ,,Orange,houseless
3620,Institute for Healthcare Advancement ,social_media,Instagram,,Orange,houseless
3629,OC Human Relations,advertising,Banner at School ,Anaheim,Anaheim,houseless
3630,Institute for Healthcare Advancement ,social_media,Instagram,,Orange,houseless
3632,OC HUman Relations,advertising,Posters at Jimenez Food Truck,Anaheim,Anaheim,houseless
3633,OC Human Relations,advertising,Posters at Jimenez Food Truck,Anaheim,Anaheim,houseless
3635,OC Human Relations,advertising,Posters at Jimenez Food Truck,Anaheim,Anaheim,houseless
3636,OC Human Relations,advertising,Posters at Food Trucks,Anaheim,Anaheim,houseless
3637,OC Human Relations,advertising,Poster at Jimenez Food Truck Board,Anaheim,Anaheim,houseless
3638,OC Human Relations,advertising,Poster at Jimenez Food Truck Board,Anaheim,Anaheim,houseless
3658,OC Human Relations,advertising,T-shirts and bags distribution,Fullerton,Fullerton,houseless
3659,OC Human Relations,advertising,T-Shirts/Bags distribution,Fullerton,Fullerton,houseless
3660,AltaMed,advertising,,Garden Grove,Garden Grove,houseless
3670,AltaMed,advertising,,Huntington Beach,Huntington Beach,houseless
3672,Institute for Healthcare Advancement ,social_media,Instagram,,Orange,houseless
3674,Institute for Healthcare Advancement ,advertising,,La Habra,La Habra,houseless
3675,Institute for Healthcare Advancement ,advertising,,La Habra,La Habra,houseless
3692,AltaMed,advertising,,Orange,Orange,houseless
3701,Institute for Healthcare Advancement ,social_media,Twitter,,Orange,houseless
3710,Institute for Healthcare Advancement ,social_media,Twitter,,Orange,houseless
3711,OC Human Relation,advertising,Posters at Food Trucks,Orange,Orange,houseless
3714,OC Human Relations,advertising,Posters at Foodtrucks,Orange,Orange,houseless
3716,OC Human Relations,advertising,Posters at Foodtrucks,Orange,Orange,houseless
3717,Institute for Healthcare Advancement ,advertising,La Habra Collaborative Website,,Orange,houseless
3720,OC Human Relations,advertising,Banners at Schools,Orange,Orange,houseless
3721,OC Human Relations,advertising,Banners at Churches,Orange,Orange,houseless
3722,OC Human Relations,advertising,Posters at Foodtrucks,Orange,Orange,houseless
3726,OC Human Relations,advertising,Posters and Banners,Orange,Orange,houseless
3730,OC Human Relations,advertising,T-shirts/Bags distribution,Placentia,Placentia,houseless
3732,OC Human Relations,advertising,T-Shirts/Bags distribution,Santa Ana,Santa Ana,houseless
3736,Institute for Healthcare Advancement ,social_media,Facebook ,,Orange,houseless
3765,OC Human Relations,advertising,T-Shirts/Bags distribution,Santa Ana,Santa Ana,houseless
3766,OC Human Relations,advertising,T-shirts/Bags distribution,Santa Ana,Santa Ana,houseless
3768,OC Human Relations,advertising,Posters at Station Liquor & Deli,Tustin,Tustin,houseless
3769,OC Human Relations,advertising,Posters at Station Liquor & Deli,Tustin,Tustin,houseless
3773,OC Human Relations,advertising,Posters at Station Liquor and Deli,Tustin,Tustin,houseless
3775,Institute for Healthcare Advancement ,social_media,Twitter,,Orange,houseless
3778,Institute for Healthcare Advancement ,social_media,Twitter,,Orange,houseless
3779,CAP OC,booths,,Anaheim,Anaheim,houseless
3805,KCS,booths,Tabling flyers and Q&A,Fullerton,Fullerton,houseless
3806,KCS,booths,Tabling flyers and Q&A,Fullerton,Fullerton,houseless
3817,Institute for Healthcare Advancement ,social_media,Facebook ,,Orange,houseless
3828,OC Human Relations,canvassing,Door hungers,Anaheim,Anaheim,houseless
3843,Institute for Healthcare Advancement ,social_media,Facebook,,Orange,houseless
3853,OC Human Relations,canvassing,Door hungers,Santa Ana,Santa Ana,houseless
3858,Institute for Healthcare Advancement ,social_media,Instagram,,Orange,houseless
3872,Institute for Healthcare Advancement ,social_media,Facebook ,,Orange,houseless
3874,Institute for Healthcare Advancement ,social_media,Instagram,,Orange,houseless
3875,Institute for Healthcare Advancement ,social_media,Twitter,,Orange,houseless
3897,Institute for Healthcare Advancement ,social_media,Twitter,,Orange,houseless
3931,Institute for Healthcare Advancement ,social_media,Instagram,,Orange,houseless
4015,OC Human Relations,event,,Anaheim,Anaheim,houseless
4017,Orange County United Way,event,,Anaheim,Anaheim,houseless
4030,"Southland Integrated Services, Inc. ",event,monthly community educational seminar,Garden Grove,Garden Grove,houseless
4050,Catholic Charities of Orange County,event,,Orange,Orange,houseless
4052,Catholic Charities of Orange County,event,,Orange,Orange,houseless
4110,Institute for Healthcare Advancement ,booths,Outreach,,La Habra,houseless
4116,Catholic Charities of Orange County,event,,Santa Ana,Santa Ana,houseless
4117,Catholic Charities of Orange County,event,,Santa Ana,Santa Ana,houseless
4118,Catholic Charities of Orange County,event,,Santa Ana,Santa Ana,houseless
4163,"Southland Integrated Services, Inc.",event,distributing census flyers at community food distribution event (Stanton),Stanton,Stanton,houseless
4164,California Healthy Nail Salon Collaborative,event,,Westminster,Westminster,houseless
4165,"Southland Integrated Services, Inc. ",event,food distribution at community center,Westminster,Westminster,houseless
4224,CAIR-LA,flyers,,Fullerton,Fullerton,houseless
4225,CAIR-LA,flyers,Census swag bags provided to 125 individuals at ICNA weekly food pantry,Fullerton,Fullerton,houseless
4261,WAVE,flyers,,Orange,Orange,houseless
4262,WAVE,flyers,,Orange,Orange,houseless
4263,WAVE,flyers,,Orange,Orange,houseless
4264,WAVE,flyers,,Orange,Orange,houseless
4266,WAVE,flyers,,Orange,Orange,houseless
4333,OCAPICA,meeting,,Garden Grove,Garden Grove,houseless
4379,Institute for Healthcare Advancement ,social_media,Instagram,,Orange,houseless
4396,OCAPICA,speaking_engagement,,,Westminster,houseless
4620,OCAPICA,nudgealert,,,Buena Park,houseless
4680,Institute for Healthcare Advancement ,advertising,Street Banner,,La Habra,houseless
4766,Institute for Healthcare Advancement ,booths,Outreach,,La Habra,houseless
4969,Institute for Healthcare Advancement ,social_media,Facebook ,,Orange,houseless
4973,Institute for Healthcare Advancement ,booths,Outreach,,La Habra,houseless
5328,OC Human Relations,canvassing,,,,houseless
5574,OC Human Relations,advertising,T-shirts and bags distribution. Door hungers,Tustin,Tustin,farmworker
5627,Access California Services,booths,Family resource fair ,Westminster,Westminster,farmworker
7203,Institute for Healthcare Advancement ,social_media,Twitter,,Orange,veteran
7206,Institute for Healthcare Advancement ,advertising,Street Banner,,Orange,veteran
7212,Institute for Healthcare Advancement ,advertising,Street Banner,,La Habra,veteran
7222,OC HUman Relations,social_media,,,Orange,veteran
7274,Institute for Healthcare Advancement ,advertising,,La Habra,La Habra,veteran
7275,Institute for Healthcare Advancement ,advertising,,La Habra,La Habra,veteran
7282,Institute for Healthcare Advancement ,advertising,,La Habra,La Habra,veteran
7286,Institute for Healthcare Advancement ,advertising,,La Habra,La Habra,veteran
7287,Institute for Healthcare Advancement ,advertising,,La Habra,La Habra,veteran
7300,OC Human Relations,advertising,Organizational website Slider,Orange,Orange,veteran
7301,Institute for Healthcare Advancement ,social_media,Twitter,,Orange,veteran
7302,OC Human Relations,advertising,Organizational Website,Orange,Orange,veteran
7303,OC Human Relations,advertising,Organizational Website ,Orange,Orange,veteran
7305,OC HUman Relations,advertising,Organizational Website,Orange,Orange,veteran
7306,OC Human Relations,advertising,Organizational website,Orange,Orange,veteran
7308,OC Human Relations,advertising,Organizational Website,Orange,Orange,veteran
7310,Institute for Healthcare Advancement ,social_media,Twitter,,Orange,veteran
7312,OC Human Relations,advertising,Organizational Website,Orange,Orange,veteran
7315,OC Human Relations,advertising,Organizational Website,Orange,Orange,veteran
7318,OC Human Relations,advertising,Organizational Website,Orange,Orange,veteran
7319,OC Human Relations,advertising,social_media,Orange,Orange,veteran
7323,OC Human Relations,advertising,Organizational Website,Orange,Orange,veteran
7374,OC Human Relations,advertising,T-shirts and bags distribution. Door hungers,Tustin,Tustin,veteran
7375,Institute for Healthcare Advancement ,social_media,Twitter,,Orange,veteran
7378,Institute for Healthcare Advancement ,social_media,Twitter,,Orange,veteran
7405,KCS,booths,Tabling flyers and Q&A,Fullerton,Fullerton,veteran
7406,KCS,booths,Tabling flyers and Q&A,Fullerton,Fullerton,veteran
7475,Institute for Healthcare Advancement ,social_media,Twitter,,Orange,veteran
7484,OC Human Relations,social_media,,,Orange,veteran
7489,OC Human Relations,social_media,,,Orange,veteran
7494,OC HUman Relations,social_media,,,Orange,veteran
7497,Institute for Healthcare Advancement ,social_media,Twitter,,Orange,veteran
7515,OC Human Relations,advertising,Organizational Newsletter,,Orange,veteran
7726,OCAPICA,speaking_engagement,coasltine students,,Garden Grove,veteran
7876,California Healthy Nail Salon Collaborative,social_media,,,,veteran
7877,Institute for Healthcare Advancement ,convening,,,La Habra,veteran
8220,OCAPICA,nudgealert,,,Buena Park,veteran
8280,Institute for Healthcare Advancement ,advertising,Street Banner,,La Habra,veteran
8402,Project Access ,flyers,Food Bank Distribution ,,Santa Ana,veteran
8403,Project Access ,flyers,Food Bank Distribution ,,Santa Ana,veteran
8458,California Healthy Nail Salon Collaborative,phone_banking,,Orange,Orange,veteran
8459,California Healthy Nail Salon Collaborative,phone_banking,,Orange,Orange,veteran
8463,California Healthy Nail Salon Collaborative,phone_banking,,Orange,Orange,veteran
8464,California Healthy Nail Salon Collaborative,phone_banking,,Orange,Orange,veteran
8466,California Healthy Nail Salon Collaborative,phone_banking,,Orange,Orange,veteran
8471,California Healthy Nail Salon Collaborative,phone_banking,,Orange,Orange,veteran
8474,California Healthy Nail Salon Collaborative,phone_banking,,Orange,Orange,veteran
8502,California Healthy Nail Salon Collaborative,phone_banking,,Orange,Orange,veteran
8507,California Healthy Nail Salon Collaborative,phone_banking,,Orange,Orange,veteran
8774,OC Human Relations,social_media,Videos and Post in several languages,Orange,Orange,veteran
8782,OC Human Relations,social_media,post in several languages,Orange,Orange,veteran
8805,OC Human Relations,social_media,,Orange,Orange,veteran
8819,OC Human Relations,social_media,,Orange,Orange,veteran
8821,California Healthy Nail Salon Collaborative,social_media,,,,veteran
8824,OC Human Relations,social_media,,Orange,Orange,veteran
8847,AASCSC,social_media,,Santa Ana,Santa Ana,veteran
8925,Institute for Healthcare Advancement ,convening,,,La Habra,veteran
8936,OC HUman Relations,advertising,Organizational Website,,Orange,veteran
8998,California Healthy Nail Salon Collaborative,social_media,,,,veteran
8999,California Healthy Nail Salon Collaborative,social_media,,,,veteran
9002,OCAPICA,social_media,social media,,Garden Grove,Latino/a/e
9003,Institute for Healthcare Advancement ,social_media,Twitter,,Orange,Latino/a/e
9005,Institute for Healthcare Advancement ,social_media,Facebook ,,Orange,Latino/a/e
9006,Institute for Healthcare Advancement ,advertising,Street Banner,,Orange,Latino/a/e
9012,Institute for Healthcare Advancement ,advertising,Street Banner,,La Habra,Latino/a/e
9014,Institute for Healthcare Advancement ,social_media,Facebook ,,Orange,Latino/a/e
9020,Institute for Healthcare Advancement ,social_media,Instagram,,Orange,Latino/a/e
9022,OC HUman Relations,social_media,,,Orange,Latino/a/e
9025,Jamboree Housing Corporation,advertising,,Anaheim,Anaheim,Latino/a/e
9026,Jamboree Housing Corporation,advertising,,Anaheim,Anaheim,Latino/a/e
9027,AASCSC,social_media,,,Orange,Latino/a/e
9028,OC Human Relations,advertising,T-Shirts and Tote Bags distribution,Anaheim,Anaheim,Latino/a/e
9029,OC Human Relations,advertising,Banner at School ,Anaheim,Anaheim,Latino/a/e
9030,Institute for Healthcare Advancement ,social_media,Instagram,,Orange,Latino/a/e
9032,OC HUman Relations,advertising,Posters at Jimenez Food Truck,Anaheim,Anaheim,Latino/a/e
9033,OC Human Relations,advertising,Posters at Jimenez Food Truck,Anaheim,Anaheim,Latino/a/e
9035,OC Human Relations,advertising,Posters at Jimenez Food Truck,Anaheim,Anaheim,Latino/a/e
9036,OC Human Relations,advertising,Posters at Food Trucks,Anaheim,Anaheim,Latino/a/e
9037,OC Human Relations,advertising,Poster at Jimenez Food Truck Board,Anaheim,Anaheim,Latino/a/e
9038,OC Human Relations,advertising,Poster at Jimenez Food Truck Board,Anaheim,Anaheim,Latino/a/e
9039,AASCSC,social_media,,,Orange,Latino/a/e
9040,OCCCO,advertising,Facebook post,Anaheim,Anaheim,Latino/a/e
9041,OCCCO,advertising,Facebook post,Anaheim,Anaheim,Latino/a/e
9043,OC Human Relations,advertising,T-shirts and bags distribution. ,Anaheim,Anaheim,Latino/a/e
9047,The LGBTQ Center OC,advertising,Social Media Post,Anaheim,Anaheim,Latino/a/e
9049,Jamboree Housing Corporation,advertising,,Brea,Brea,Latino/a/e
9050,AASCSC,social_media,,,Orange,Latino/a/e
9053,Jamboree Housing Corporation,advertising,,Brea,Brea,Latino/a/e
9057,Project Access,advertising,Passing out Census Flyers,Cypress,Cypress,Latino/a/e
9058,OC Human Relations,advertising,T-shirts and bags distribution,Fullerton,Fullerton,Latino/a/e
9059,OC Human Relations,advertising,T-Shirts/Bags distribution,Fullerton,Fullerton,Latino/a/e
9060,AltaMed,advertising,,Garden Grove,Garden Grove,Latino/a/e
9061,WAVE,social_media,,,Orange,Latino/a/e
9063,AltaMed,advertising,,Garden Grove,Garden Grove,Latino/a/e
9070,AltaMed,advertising,,Huntington Beach,Huntington Beach,Latino/a/e
9071,AltaMed,advertising,,Huntington Beach,Huntington Beach,Latino/a/e
9072,Institute for Healthcare Advancement ,social_media,Instagram,,Orange,Latino/a/e
9073,Jamboree Housing Corporation,advertising,,Irvine,Irvine,Latino/a/e
9074,Institute for Healthcare Advancement ,advertising,,La Habra,La Habra,Latino/a/e
9075,Institute for Healthcare Advancement ,advertising,,La Habra,La Habra,Latino/a/e
9079,Institute for Healthcare Advancement ,advertising,,La Habra,La Habra,Latino/a/e
9080,Institute for Healthcare Advancement ,advertising,,La Habra,La Habra,Latino/a/e
9082,Institute for Healthcare Advancement ,advertising,,La Habra,La Habra,Latino/a/e
9083,Institute for Healthcare Advancement ,advertising,,La Habra,La Habra,Latino/a/e
9085,Institute for Healthcare Advancement ,advertising,,La Habra,La Habra,Latino/a/e
9086,Institute for Healthcare Advancement ,advertising,,La Habra,La Habra,Latino/a/e
9087,Institute for Healthcare Advancement ,advertising,,La Habra,La Habra,Latino/a/e
9093,AltaMed,advertising,,Orange,Orange,Latino/a/e
9095,OC Human Relations,advertising,,Orange,Orange,Latino/a/e
9096,OC Human Relations,advertising,,Orange,Orange,Latino/a/e
9100,OC Human Relations,advertising,Organizational website Slider,Orange,Orange,Latino/a/e
9101,Institute for Healthcare Advancement ,social_media,Twitter,,Orange,Latino/a/e
9102,OC Human Relations,advertising,Organizational Website,Orange,Orange,Latino/a/e
9103,OC Human Relations,advertising,Organizational Website ,Orange,Orange,Latino/a/e
9105,OC HUman Relations,advertising,Organizational Website,Orange,Orange,Latino/a/e
9106,OC Human Relations,advertising,Organizational website,Orange,Orange,Latino/a/e
9108,OC Human Relations,advertising,Organizational Website,Orange,Orange,Latino/a/e
9110,Institute for Healthcare Advancement ,social_media,Twitter,,Orange,Latino/a/e
9111,OC Human Relation,advertising,Posters at Food Trucks,Orange,Orange,Latino/a/e
9112,OC Human Relations,advertising,Organizational Website,Orange,Orange,Latino/a/e
9114,OC Human Relations,advertising,Posters at Foodtrucks,Orange,Orange,Latino/a/e
9115,OC Human Relations,advertising,Organizational Website,Orange,Orange,Latino/a/e
9116,OC Human Relations,advertising,Posters at Foodtrucks,Orange,Orange,Latino/a/e
9117,Institute for Healthcare Advancement ,advertising,La Habra Collaborative Website,,Orange,Latino/a/e
9118,OC Human Relations,advertising,Organizational Website,Orange,Orange,Latino/a/e
9119,OC Human Relations,advertising,social_media,Orange,Orange,Latino/a/e
9120,OC Human Relations,advertising,Banners at Schools,Orange,Orange,Latino/a/e
9121,OC Human Relations,advertising,Banners at Churches,Orange,Orange,Latino/a/e
9122,OC Human Relations,advertising,Posters at Foodtrucks,Orange,Orange,Latino/a/e
9123,OC Human Relations,advertising,Organizational Website,Orange,Orange,Latino/a/e
9125,AASCSC,social_media,,,Orange,Latino/a/e
9126,OC Human Relations,advertising,Posters and Banners,Orange,Orange,Latino/a/e
9130,OC Human Relations,advertising,T-shirts/Bags distribution,Placentia,Placentia,Latino/a/e
9131,Jamboree Housing Corporation,advertising,,San Clemente,San Clemente,Latino/a/e
9132,OC Human Relations,advertising,T-Shirts/Bags distribution,Santa Ana,Santa Ana,Latino/a/e
9136,Institute for Healthcare Advancement ,social_media,Facebook ,,Orange,Latino/a/e
9144,AASCSC,social_media,,,Orange,Latino/a/e
9163,AASCSC,social_media,,,Orange,Latino/a/e
9165,OC Human Relations,advertising,T-Shirts/Bags distribution,Santa Ana,Santa Ana,Latino/a/e
9166,OC Human Relations,advertising,T-shirts/Bags distribution,Santa Ana,Santa Ana,Latino/a/e
9167,OC Human Relations,advertising,T-Shirts and Tote Bags distribution,Santa Ana,Santa Ana,Latino/a/e
9168,OC Human Relations,advertising,Posters at Station Liquor & Deli,Tustin,Tustin,Latino/a/e
9169,OC Human Relations,advertising,Posters at Station Liquor & Deli,Tustin,Tustin,Latino/a/e
9173,OC Human Relations,advertising,Posters at Station Liquor and Deli,Tustin,Tustin,Latino/a/e
9174,OC Human Relations,advertising,T-shirts and bags distribution. Door hungers,Tustin,Tustin,Latino/a/e
9175,Institute for Healthcare Advancement ,social_media,Twitter,,Orange,Latino/a/e
9177,Access California Services,booths,Friday Prayer,Anaheim,Anaheim,Latino/a/e
9178,Institute for Healthcare Advancement ,social_media,Twitter,,Orange,Latino/a/e
9179,CAP OC,booths,,Anaheim,Anaheim,Latino/a/e
9181,OC Human Relations,booths,,Anaheim,Anaheim,Latino/a/e
9184,AASCSC,social_media,,,Orange,Latino/a/e
9196,VietRISE,social_media,Social Media (Instagram) advertisement to share details of the press conference and impact of the census on undercounted Vietnamese and immigrant communities,,Orange,Latino/a/e
9204,KCS,booths,Tabling flyers and Q&A,Fullerton,Fullerton,Latino/a/e
9205,KCS,booths,Tabling flyers and Q&A,Fullerton,Fullerton,Latino/a/e
9206,KCS,booths,Tabling flyers and Q&A,Fullerton,Fullerton,Latino/a/e
9207,Community Health Initiative of Orange County,nudgealert,Mass texting,,Orange,Latino/a/e
9208,Access California Services,booths,Friday Prayer,Fullerton,Fullerton,Latino/a/e
9210,Access California Services,booths,Friday Prayer,Garden Grove,Garden Grove,Latino/a/e
9213,OC Human Relations,booths,,Garden Grove,Garden Grove,Latino/a/e
9215,OC Human Relations,booths,6th grade parent night,Garden Grove,Garden Grove,Latino/a/e
9217,Institute for Healthcare Advancement ,social_media,Facebook ,,Orange,Latino/a/e
9219,Orange County United Way,booths,,Laguna Niguel,Laguna Niguel,Latino/a/e
9227,Access California Services,booths,Family resource fair ,Westminster,Westminster,Latino/a/e
9228,OC Human Relations,canvassing,Door hungers,Anaheim,Anaheim,Latino/a/e
9229,OC Human Relations,canvassing,,Anaheim,Anaheim,Latino/a/e
9230,OC Human Relations,canvassing,Door hungers and flyers in Apartment Complexes and neighborhood areas,Anaheim,Anaheim,Latino/a/e
9231,OC Human Relations,canvassing,,Anaheim,Anaheim,Latino/a/e
9232,OC Human Relations,canvassing,,Anaheim,Anaheim,Latino/a/e
9233,OC Human Relations,canvassing,Door hungers and flyers in Apartment Complexes and neighborhood areas,Anaheim,Anaheim,Latino/a/e
9238,OC Human Relations,canvassing,,Fullerton,Fullerton,Latino/a/e
